"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","cont_2","cont_3","2_1","2_2"
"cfcbc2d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98ecb86",-42.356350898742676,"unknown",-35.743534564971924,-29.391190767288208,0.0,7.335906744003296,11.293355703353882,19.49837827682495,35.14969444274902,42.29786944389343,48.78412842750549,54.91858506202698,"unknown",60.885626792907715,65.42444682121277,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",71.9129946231842,"unknown","unknown",77.11095404624939,"","","",""
"7636563",-43.489511013031006,"unknown",-37.376424074172974,-31.125476837158203,0.0,6.216384410858154,8.021461963653564,15.316849708557129,27.248470783233643,33.825846910476685,81.06901049613953,87.8068904876709,"unknown",93.50516152381897,95.05068564414978,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",101.03822422027588,"unknown","unknown",107.20609617233276,"","","",""
"5d2b358","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d9ae0c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73d4e20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"be94a32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9f972fb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6e93efd",-318.782751083374,"unknown",-312.86733770370483,-307.4694621562958,0.0,6.814007043838501,8.553849458694458,15.882819175720215,20.625203132629395,26.597331285476685,33.58846354484558,39.5446240901947,"unknown",45.67957067489624,46.99499845504761,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",53.90607762336731,"unknown","unknown",60.696335315704346,"","","",""
"5a4afae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c34e373","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6bac72b",-107745.6741001606,"unknown",-107739.91738176346,-107733.57125926018,0.0,5.506938934326172,8.05334186553955,15.351049661636353,29.701735496520996,36.83814811706543,45.116076946258545,"unknown",50.702112674713135,56.634023904800415,59.619972229003906,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",66.83048105239868,"unknown","unknown",72.46166038513184,"","","",""
"c9285e4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd4b2f4",-17088.597013950348,"unknown",-17082.83192563057,-17076.434313058853,0.0,5.718438386917114,7.87839674949646,16.187317848205566,34.998976707458496,40.37229013442993,49.59436106681824,"unknown",56.34280014038086,62.255859375,66.22010540962219,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",71.68632626533508,"unknown","unknown",77.6103196144104,"","","",""
"bd650e8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b81bc6e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0ff20c2",-91781.04418492317,"unknown",-91775.56349921227,-91769.45466256142,0.0,6.6145265102386475,10.928282499313354,18.941475868225098,46.12567973136902,52.34467887878418,70.567302942276,"unknown",76.22273397445679,82.91990518569946,85.07963371276855,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",91.48137497901917,"unknown","unknown",98.20264077186584,"","","",""
"b0e3caa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45f7f6c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
