"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","x_3","12A","12B","13_1","13_2","13_3","15","3_1","2_1"
"addf295",-27382.155336856842,"unknown",-27376.560428619385,-27370.523761034012,0.0,6.791873216629028,12.138920545578003,21.129701375961304,162.53462624549866,169.78462624549866,196.28064036369324,201.7974784374237,"unknown",208.80033659934998,211.90812182426453,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",217.47228384017944,"unknown","unknown",224.33201622962952,"",""
"1a8e45b",-69.48214268684387,"unknown",-62.91575241088867,-41.155378580093384,0.0,6.459481239318848,33.04579186439514,40.195130825042725,80.73380422592163,86.11966395378113,92.90714192390442,106.61055541038513,"unknown",113.55255699157715,115.93929719924927,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",122.21909213066101,"unknown","unknown",144.78359818458557,"",""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434",-6028.151253223419,"unknown",-6022.5798308849335,-6016.1796708106995,0.0,7.322537899017334,16.477130889892578,25.110870361328125,40.79224371910095,48.048500537872314,58.83169722557068,64.2049207687378,"unknown",71.03453946113586,74.15964865684509,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",80.10019302368164,"unknown","unknown",85.9334499835968,"",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3",-85.39288830757141,"unknown",-78.94932651519775,-73.34418630599976,0.0,6.836518049240112,10.938276767730713,17.915879249572754,38.63420605659485,44.50010967254639,67.38004040718079,74.09221887588501,"unknown",79.81674385070801,81.30801749229431,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",87.32023906707764,"unknown","unknown",94.14102482795715,"",""
"8ec15bc",-160.12682628631592,"unknown",-154.47715187072754,-148.22033143043518,0.0,5.597500562667847,8.04066276550293,15.48801589012146,57.86874985694885,65.14730143547058,78.38014531135559,83.95713138580322,"unknown",91.0684871673584,93.02329349517822,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",99.83566045761108,"unknown","unknown",106.66017580032349,"",""
"6c8906b",-10822.70702624321,"unknown",-10808.795269489288,-10790.610391378403,0.0,7.125439882278442,13.232999801635742,20.951712369918823,16024.03004860878,16031.442443847656,16048.200810909271,"unknown",16054.316791772842,16060.905058145523,16069.949004888535,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",16075.852608680725,"unknown","unknown",16081.737206935883,"",""
"dae9b13",-1302769.710442543,"unknown",-1302763.454067707,-1302756.5053536892,0.0,7.113595485687256,13.772308111190796,21.491613149642944,50.17355966567993,57.11200404167175,76.24519157409668,"unknown",81.64989590644836,88.38490200042725,90.17181134223938,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",96.54488134384155,"unknown","unknown",103.29398989677429,"",""
"4828266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614fc3f",-30788.314906597137,"unknown",-30781.888903856277,-30775.6907453537,0.0,5.70121169090271,9.628725528717041,17.245124340057373,38.29661798477173,44.377023220062256,51.40042161941528,57.62770199775696,"unknown",63.03787660598755,65.44406056404114,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",70.83332228660583,"unknown","unknown",77.52322602272034,"",""
