"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15","2_1"
"98ecb86",-32.61995553970337,"unknown",-26.90355682373047,-21.56890082359314,0.0,5.542289972305298,7.958225250244141,16.72222065925598,25.448716163635254,32.61139488220215,46.45963144302368,"unknown",53.754409074783325,59.88036489486694,62.1003212928772,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",68.4105167388916,"unknown","unknown",75.27701234817505,""
"7636563",-1322.8985404968262,"unknown",-1316.198471546173,-1309.7858757972717,0.0,7.188504695892334,10.796028852462769,19.080066680908203,33.635292530059814,40.37744116783142,45.3990740776062,"unknown",50.96345806121826,57.692086696624756,59.959895610809326,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",66.65030312538147,"unknown","unknown",72.20104598999023,""
"5d2b358","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d9ae0c","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73d4e20","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"be94a32","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9f972fb","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6e93efd",-6822.413849830627,"unknown",-6816.677305936813,-6809.87651014328,0.0,7.127737283706665,10.505638360977173,17.773218870162964,37.614245653152466,44.17404079437256,55.66329312324524,61.39614748954773,"unknown",67.75396251678467,136.31766390800476,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",142.90070056915283,"unknown","unknown",149.93651175498962,""
"5a4afae","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c34e373","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6bac72b",-247.77614903450012,"unknown",-192.14261889457703,-137.04099464416504,0.0,6.007051467895508,9.07668423652649,15.684046506881714,29.299503564834595,35.03137516975403,50.76096773147583,"unknown",57.23503351211548,63.826580286026,65.8414990901947,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",75.40424585342407,"unknown","unknown",81.27046775817871,""
"c9285e4","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd4b2f4",-1840.7648420333862,"unknown",-1834.972836971283,-1828.0718088150024,0.0,6.0082316398620605,9.520250797271729,17.941488027572632,45.27069902420044,51.46618032455444,59.08687782287598,"unknown",65.72856569290161,72.03223752975464,74.43879771232605,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",81.38677406311035,"unknown","unknown",87.48433375358582,""
"bd650e8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
